"","peaknum_b","peaknum_a","rt_diff","c_diff"
"239",6255,5481,-0.0640810876150226,0
"240",7506,6517,6.28134100131683,0
"241",1651,1827,4.4471558908167,0
"242",7475,6490,7.78828872787562,0
"243",2591,2833,4.86278355521131,-1
"244",9157,7933,9.3821747873244,0
"245",5210,4582,3.19104032687301,0
"246",1587,1682,3.53234796863092,0
"247",1516,1635,4.60068627968701,0
"248",2712,2944,4.86278355521131,0
"249",6219,5449,0.949814365502334,0
"250",5851,5109,4.66748708621299,0
"251",5810,5086,3.66748708621299,0
"252",2055,1815,-8.42778436915796,0
"253",3218,3238,3.89251887963383,-1
"254",6167,5417,1.25481956143062,0
"255",1715,1720,2.45115589081672,0
"256",6098,5294,2.24931529480045,0
"257",5501,4819,3.24823383285388,0
"258",5622,4819,-45.3173583714718,0
"259",2151,2056,1.17684433295176,0
"260",3532,2569,-12.6555068358423,0
"261",3120,2285,-12.6693744980535,0
"262",2856,3083,2.72913472400546,0
"263",8719,7591,8.12754482335481,0
"264",3357,3408,4.49517277836196,0
"265",5816,5114,3.63969617997805,0
"266",9143,7881,9.3821747873244,0
"267",5763,4842,1.05204926850399,0
"268",4128,3880,1.03818160629282,0
"269",1655,1721,1.45415589081676,0
"270",3323,2752,3.04804926850397,0
"271",3399,2231,1.23230108634357,0
"272",2713,2799,0.137241346318206,0
"273",6339,5499,0.828789695093974,0
"274",8697,7583,9.43049880512285,0
"275",7249,6275,4.83215203664781,0
"276",695,3932,39.6408027403531,0
"277",7177,6254,5.84604748976517,0
"278",2917,2837,0.178844332951712,0
"279",6492,5674,0.828789695093974,1
"280",6458,5600,0.828789695093974,0
"281",2370,2058,0.164976670740657,0
"282",6361,5563,0.868536834573888,0
"283",2180,2059,0.151109008529374,0
"284",7026,6113,-2.86834991405294,0
"285",7013,6104,-1.86834991405294,0
"286",3510,3488,4.69605277945368,0
"287",1671,1683,-2.83112011140906,0
"288",1470,1616,39.6269350781418,0
"289",609,1005,39.6408027403531,0
"290",5991,5092,-0.83302332925939,0
"291",1656,1702,2.45115589081672,0
"292",12391,10423,-21.2532537154193,0
"293",9145,7909,7.35438388108969,0
"294",11749,9838,-18.6569998221494,0
"295",2061,1974,-0.347890991470649,0
"296",5495,4806,2.22044292661894,0
"297",9517,8181,6.40641246760424,0
"298",6118,5335,2.24092410831304,0
"299",7078,6152,6.72750314076779,0
"300",1857,1807,-3.79942887323114,0
"301",6377,5579,0.797242290272834,0
"302",5979,5230,-0.076717444269093,0
"303",6363,5564,0.176754846129825,0
"304",5904,5142,5.39402929510607,0
"305",6341,5142,-181.781210304906,1
"306",2319,2217,0.0401816062928901,1
"307",1590,1605,-11.3385922913437,0
"308",9009,7808,5.73711569456214,0
"309",13256,11609,-16.7035731919059,0
"310",6109,5323,-0.0936613912158464,0
"311",2114,1975,-4.69860409397722,0
